href;title;price;features;propertyType;shortLocation;adType;date
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/148946483/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;214.000 €;['3 habs.', '2 baños', '103 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/151384222/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;248.500 €;['4 habs.', '2 baños', '107 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/148946461/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;175.725 €;['3 habs.', '2 baños', '82 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/150255341/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;208.050 €;['3 habs.', '2 baños', '94 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/148946469/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;209.500 €;['3 habs.', '2 baños', '97 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/148946473/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;205.500 €;['3 habs.', '2 baños', '94 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/151688037/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;261.000 €;['4 habs.', '2 baños', '118 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/150255338/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;277.000 €;['4 habs.', '2 baños', '115 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/150255339/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;206.350 €;['3 habs.', '2 baños', '94 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/agaete/agaete/158383523/d;Piso en venta en Hermanos Castillo Olivares, 8, Agaete;68.500 €;['2 habs.', '1 baño', '54 m²', ''];Piso;Hermanos Castillo Olivares, 8, Agaete;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/tamaraceite/159316354/d;Piso en venta en Santiago, Las Palmas de Gran Canaria;131.000 €;['3 habs.', '2 baños', '81 m²', ''];Piso;Santiago, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/148946477/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;211.645 €;['3 habs.', '2 baños', '96 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/150255345/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;226.575 €;['3 habs.', '2 baños', '104 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/ascensor/159316353/d;Piso en venta en Santiago, Las Palmas de Gran Canaria;100.000 €;['1 hab.', '2 baños', '70 m²', 'con ascensor'];Piso;Santiago, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/ascensor/159316352/d;Piso en venta en Batalla de Brunete, Las Palmas de Gran Canaria;178.000 €;['3 habs.', '2 baños', '129 m²', 'con ascensor'];Piso;Batalla de Brunete, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/150255350/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;236.000 €;['3 habs.', '2 baños', '101 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/151384227/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;241.845 €;['4 habs.', '2 baños', '107 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/151688036/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;206.200 €;['3 habs.', '2 baños', '96 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/148946450/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;233.000 €;['3 habs.', '2 baños', '111 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/148946440/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;230.750 €;['3 habs.', '2 baños', '111 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-zona-comunitaria-ascensor-parking/151384225/d;Piso en venta en Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;218.000 €;['4 habs.', '2 baños', '108 m²', 'con ascensor y parking'];Piso;Calles Pimentero , Nardo, Cocotero y Gardenia, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/obra-nueva/arucas/19515951/151291396;Casa o chalet en venta en Calle Escudero Sancho Panza, Arucas;292.500 €;['4 habs.', '3 baños', '224 m²', ''];Casa o chalet;Calle Escudero Sancho Panza, Arucas;Comprar;2021/04/12
/es/comprar/vivienda/mogan/aire-acondicionado-parking-terraza-trastero-piscina-amueblado/154307894/d;Piso en venta en Nayra, Urb.monte Carrera Canarian Garden, Pta.1603, 61, Mogán;360.260 €;['2 habs.', '2 baños', '119 m²', 'con terraza'];Piso;Nayra, Urb.monte Carrera Canarian Garden, Pta.1603, 61, Mogán;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/cono-sur/159417743/d;Piso en venta en Francisco Inglott Artiles, Las Palmas de Gran Canaria;41.400 €;['2 habs.', '1 baño', '71 m²', ''];Piso;Francisco Inglott Artiles, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/mogan/aire-acondicionado-parking-terraza-piscina-amueblado/154306834/d;Piso en venta en Nayra, Urb.monte Carrera Canarian Garden, Pta.1013, 61, Mogán;284.340 €;['1 hab.', '1 baño', '83 m²', 'con terraza'];Piso;Nayra, Urb.monte Carrera Canarian Garden, Pta.1013, 61, Mogán;Comprar;2021/04/12
/es/comprar/vivienda/ingenio/aire-acondicionado-parking-ascensor-amueblado/153856747/d;Piso en venta en Ingenio;97.000 €;['3 habs.', '1 baño', '76 m²', 'con ascensor'];Piso;Ingenio;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-terraza-ascensor-patio/157420581/d;Piso en venta en Calle León y Castillo, 26, Las Palmas de Gran Canaria;270.000 €;['4 habs.', '2 baños', '120 m²', 'con ascensor y terraza'];Piso;Calle León y Castillo, 26, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/mogan/terraza-piscina/157531515/d;Piso en venta en Calle Dalí, Mogán;159.000 €;['1 hab.', '1 baño', '43 m²', 'con terraza'];Piso;Calle Dalí, Mogán;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-trastero-ascensor/157128420/d;Piso en venta en Calle Habana, Las Palmas de Gran Canaria;349.000 €;['3 habs.', '2 baños', '136 m²', 'con ascensor'];Piso;Calle Habana, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/valsequillo-de-gran-canaria/parking-jardin-terraza-piscina-internet/154886312/d;Casa o chalet en venta en Calle el Pedregal, 43, Valsequillo de Gran Canaria;250.000 €;['4 habs.', '2 baños', '179 m²', 'con terraza'];Casa o chalet;Calle el Pedregal, 43, Valsequillo de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/terraza-trastero-ascensor/158865420/d;Ático en venta en Las Palmas de Gran Canaria;196.500 €;['1 hab.', '2 baños', '70 m²', 'con ascensor y terraza'];Ático;Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/aire-acondicionado-ascensor-amueblado/157546077/d;Estudio en venta en Jose Franchy Roca, Las Palmas de Gran Canaria;99.900 €;['1 baño', '28 m²', 'con ascensor'];Estudio;Jose Franchy Roca, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-trastero-ascensor/154317650/d;Piso en venta en Las Palmas de Gran Canaria;A consultar;['102 m²', 'con ascensor'];Piso;Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/san-bartolome-de-tirajana/terraza/158348200/d;Apartamento en venta en San Bartolomé de Tirajana;100.000 €;['1 hab.', '1 baño', '37 m²', 'con terraza'];Apartamento;San Bartolomé de Tirajana;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking/158815096/d;Piso en venta en Las Palmas de Gran Canaria;120.000 €;['3 habs.', '2 baños', '80 m²', ''];Piso;Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/isleta/158828036/d;Piso en venta en Calle Pérez Muñoz, 41, Las Palmas de Gran Canaria;84.900 €;['1 hab.', '1 baño', '43 m²', ''];Piso;Calle Pérez Muñoz, 41, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/zona-comunitaria-ascensor/159121941/d;Piso en venta en Calle Carvajal, 3, Las Palmas de Gran Canaria;199.000 €;['3 habs.', '2 baños', '74 m²', 'con ascensor'];Piso;Calle Carvajal, 3, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/escaleritas/158629379/d;Piso en venta en Calle Juan Rodríguez Quegles, 6, Las Palmas de Gran Canaria;57.000 €;['3 habs.', '1 baño', '55 m²', ''];Piso;Calle Juan Rodríguez Quegles, 6, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/san-bartolome-de-tirajana/jardin-terraza-zona-comunitaria-piscina/159358805/d;Casa adosada en venta en Calle Tauro, San Bartolomé de Tirajana;99.000 €;['1 hab.', '1 baño', '38 m²', 'con terraza'];Casa adosada;Calle Tauro, San Bartolomé de Tirajana;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-terraza-trastero/159398678/d;Casa o chalet en venta en Paseo Chil, 210, Las Palmas de Gran Canaria;950.000 €;['3 habs.', '4 baños', '500 m²', 'con terraza'];Casa o chalet;Paseo Chil, 210, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/san-bartolome-de-tirajana/aire-acondicionado-jardin-terraza-zona-comunitaria-piscina/153675448/d;Piso en venta en San Bartolomé de Tirajana;355.000 €;['3 habs.', '1 baño', '75 m²', 'con terraza'];Piso;San Bartolomé de Tirajana;Comprar;2021/04/12
/es/comprar/vivienda/ingenio/carrizal/159026407/d;Piso en venta en Italia, Ingenio;48.300 €;['4 habs.', '1 baño', '50 m²', ''];Piso;Italia, Ingenio;Comprar;2021/04/12
/es/comprar/vivienda/aguimes/terraza/159142088/d;Casa o chalet en venta en Fuerteventura, Agüimes;145.000 €;['2 habs.', '2 baños', '141 m²', 'con terraza'];Casa o chalet;Fuerteventura, Agüimes;Comprar;2021/04/12
/es/comprar/vivienda/telde/parking-terraza-trastero-patio/159261475/d;Piso en venta en Calle General Prim, Telde;120.000 €;['3 habs.', '1 baño', '76 m²', 'con terraza'];Piso;Calle General Prim, Telde;Comprar;2021/04/12
/es/comprar/vivienda/vega-de-san-mateo/jardin-terraza/157874738/d;Casa o chalet en venta en Lugar la Lechucilla, Vega de San Mateo;108.500 €;['2 habs.', '1 baño', '97 m²', 'con terraza'];Casa o chalet;Lugar la Lechucilla, Vega de San Mateo;Comprar;2021/04/12
/es/comprar/vivienda/firgas/parking-terraza-trastero-patio/158612290/d;Dúplex en venta en Firgas;179.000 €;['3 habs.', '2 baños', '110 m²', 'con terraza'];Dúplex;Firgas;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-trastero/159484070/d;Piso en venta en Calle Gral. José Ant. Gutiérrez Mellado, Las Palmas de Gran Canaria;145.000 €;['4 habs.', '2 baños', '90 m²', ''];Piso;Calle Gral. José Ant. Gutiérrez Mellado, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/santa-brigida/parking-jardin-terraza-amueblado-se-aceptan-mascotas/156716353/d;Finca rústica en venta en Santa Brígida;349.000 €;['5 habs.', '4 baños', '150 m²', 'con terraza'];Finca rústica;Santa Brígida;Comprar;2021/04/12
/es/comprar/vivienda/telde/ascensor/155155126/d;Apartamento en venta en Telde;88.900 €;['2 habs.', '2 baños', '51 m²', 'con ascensor'];Apartamento;Telde;Comprar;2021/04/12
/es/comprar/vivienda/telde/parking-trastero-ascensor-amueblado/159451028/d;Piso en venta en Americo Vespucio, Telde;190.000 €;['2 habs.', '1 baño', '82 m²', 'con ascensor'];Piso;Americo Vespucio, Telde;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-trastero-ascensor/154317880/d;Piso en venta en Las Palmas de Gran Canaria;A consultar;['176 m²', 'con ascensor'];Piso;Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/telde/jardin-terraza-piscina/157063315/d;Casa o chalet en venta en Telde;315.000 €;['4 habs.', '2 baños', '185 m²', 'con terraza'];Casa o chalet;Telde;Comprar;2021/04/12
/es/comprar/vivienda/santa-brigida/terraza-trastero-internet/156475444/d;Casa adosada en venta en Carretera de la Angostura, Santa Brígida;180.000 €;['8 habs.', '3 baños', '271 m²', 'con terraza'];Casa adosada;Carretera de la Angostura, Santa Brígida;Comprar;2021/04/12
/es/comprar/vivienda/santa-brigida/aire-acondicionado-parking-jardin-terraza-trastero-patio-piscina-se-aceptan-mascotas-internet-no-amueblado/157524134/d;Casa o chalet en venta en Santa Brígida;499.000 €;['4 habs.', '3 baños', '350 m²', 'con terraza'];Casa o chalet;Santa Brígida;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/aire-acondicionado-parking-trastero-ascensor-no-amueblado/159472990/d;Dúplex en venta en Calle Párroco Fco. Rodríguez Rodríguez, 68, Las Palmas de Gran Canaria;285.000 €;['2 habs.', '3 baños', '101 m²', 'con ascensor'];Dúplex;Calle Párroco Fco. Rodríguez Rodríguez, 68, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/ascensor-patio-internet/159386692/d;Piso en venta en Calle Salvador Manrique de Lara, 30, Las Palmas de Gran Canaria;126.420 €;['3 habs.', '1 baño', '79 m²', 'con ascensor'];Piso;Calle Salvador Manrique de Lara, 30, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/ascensor-amueblado-television/156018394/d;Estudio en venta en Sagasta, 55, Las Palmas de Gran Canaria;128.390 €;['1 baño', '40 m²', 'con ascensor'];Estudio;Sagasta, 55, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/san-bartolome-de-tirajana/parking-trastero-patio/155646708/d;Piso en venta en San Bartolomé de Tirajana;150.000 €;['3 habs.', '2 baños', '86 m²', ''];Piso;San Bartolomé de Tirajana;Comprar;2021/04/12
/es/comprar/vivienda/santa-lucia-de-tirajana/vecindario---el-doctoral---cruce-de-sardina/159556424/d;Piso en venta en Calle Graciliano Alonso, Santa Lucía de Tirajana;88.617 €;['109 m²', ''];Piso;Calle Graciliano Alonso, Santa Lucía de Tirajana;Comprar;2021/04/12
/es/comprar/vivienda/san-bartolome-de-tirajana/parking-jardin-patio/158863458/d;Casa adosada en venta en San Bartolomé de Tirajana;365.000 €;['3 habs.', '3 baños', '226 m²', ''];Casa adosada;San Bartolomé de Tirajana;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/parking-terraza-television-internet/159113916/d;Casa o chalet en venta en Calle Pérez Muñoz, Las Palmas de Gran Canaria;490.000 €;['5 habs.', '4 baños', '400 m²', 'con terraza'];Casa o chalet;Calle Pérez Muñoz, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/patio-amueblado/159552006/d;Piso en venta en Veintinueve de Abril, Las Palmas de Gran Canaria;239.000 €;['3 habs.', '2 baños', '104 m²', ''];Piso;Veintinueve de Abril, Las Palmas de Gran Canaria;Comprar;2021/04/12
/es/comprar/vivienda/aguimes/parking-terraza-internet/156736615/d;Casa adosada en venta en Calle Tirma, Agüimes;219.000 €;['3 habs.', '3 baños', '231 m²', 'con terraza'];Casa adosada;Calle Tirma, Agüimes;Comprar;2021/04/12
/es/comprar/vivienda/ingenio/parking-terraza-trastero/157930444/d;Casa adosada en venta en Calle Doramas, Ingenio;186.000 €;['3 habs.', '1 baño', '218 m²', 'con terraza'];Casa adosada;Calle Doramas, Ingenio;Comprar;2021/04/12
/es/comprar/vivienda/galdar/parking-jardin/157871660/d;Casa o chalet en venta en Camino Laguete, Gáldar;397.300 €;['7 habs.', '3 baños', '380 m²', ''];Casa o chalet;Camino Laguete, Gáldar;Comprar;2021/04/12
/es/comprar/vivienda/las-palmas-de-gran-canaria/calefaccion-parking-jardin-terraza-trastero/158439887/d;Casa o chalet en venta en Calle Madrazo, Las Palmas de Gran Canaria;575.000 €;['5 habs.', '3 baños', '212 m²', 'con terraza'];Casa o chalet;Calle Madrazo, Las Palmas de Gran Canaria;Comprar;2021/04/12
